title,company_name,location,category,job_type,salary,experience,salary_min,salary_max,url,description,tags,published_at
Business Development Manager,BlueOcean JSC,Ho Chi Minh City,Sales,Full-time,46-50 trieu VND,5+ nam,46000000,50000000,https://jobs.local/topcv/business-development-manager-39,Tuyen dung Business Development Manager tai BlueOcean JSC o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"business-development,b2b,pipeline",2026-03-22T10:28:05+07:00
HR Executive,Sunrise JSC,Can Tho,Human Resources,Full-time,20-22 trieu VND,3-5 nam,20000000,22000000,https://jobs.local/topcv/hr-executive-40,Tuyen dung HR Executive tai Sunrise JSC o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-13T10:28:05+07:00
Real Estate Consultant,MinhLong Vietnam,Ho Chi Minh City,Real Estate,Remote,15-24 trieu VND,2-4 nam,15000000,24000000,https://jobs.local/topcv/real-estate-consultant-41,Tuyen dung Real Estate Consultant tai MinhLong Vietnam o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"real-estate,sales,consulting",2026-03-23T02:28:05+07:00
Operations Staff,VietFuture Solutions,Binh Duong,Operations,Full-time,15-18 trieu VND,2-4 nam,15000000,18000000,https://jobs.local/topcv/operations-staff-42,Tuyen dung Operations Staff tai VietFuture Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-03-23T17:28:05+07:00
Logistics Coordinator,AnPhat JSC,Da Nang,Supply Chain,Full-time,25-37 trieu VND,5+ nam,25000000,37000000,https://jobs.local/topcv/logistics-coordinator-43,Tuyen dung Logistics Coordinator tai AnPhat JSC o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-04-10T10:28:05+07:00
HR Executive,GlobalNext Solutions,Hanoi,Human Resources,Full-time,16-19 trieu VND,2-4 nam,16000000,19000000,https://jobs.local/topcv/hr-executive-44,Tuyen dung HR Executive tai GlobalNext Solutions o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-11T17:28:05+07:00
PR Executive,MinhLong Solutions,Da Nang,Marketing,Hybrid,36-38 trieu VND,5+ nam,36000000,38000000,https://jobs.local/topcv/pr-executive-45,Tuyen dung PR Executive tai MinhLong Solutions o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-04-17T17:28:05+07:00
Logistics Coordinator,NovaLink Group,Da Nang,Supply Chain,Shift,25-32 trieu VND,5+ nam,25000000,32000000,https://jobs.local/topcv/logistics-coordinator-46,Tuyen dung Logistics Coordinator tai NovaLink Group o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-03-21T21:28:05+07:00
Operations Staff,GreenTech Group,Bac Ninh,Operations,Remote,13-17 trieu VND,1-3 nam,13000000,17000000,https://jobs.local/topcv/operations-staff-47,Tuyen dung Operations Staff tai GreenTech Group o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"operations,process,kpi",2026-03-23T02:28:05+07:00
Business Development Manager,MinhLong Vietnam,Can Tho,Sales,Shift,7-10 trieu VND,0-1 nam,7000000,10000000,https://jobs.local/topcv/business-development-manager-48,Tuyen dung Business Development Manager tai MinhLong Vietnam o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"business-development,b2b,pipeline",2026-03-29T16:28:05+07:00
Accountant,GreenTech Vietnam,Bac Ninh,Finance,Shift,28-32 trieu VND,3-5 nam,28000000,32000000,https://jobs.local/topcv/accountant-49,Tuyen dung Accountant tai GreenTech Vietnam o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-04-28T16:28:05+07:00
Warehouse Operator,NovaLink Solutions,Binh Duong,Labor,Remote,20-22 trieu VND,5+ nam,20000000,22000000,https://jobs.local/topcv/warehouse-operator-50,Tuyen dung Warehouse Operator tai NovaLink Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"warehouse,inventory,forklift",2026-04-01T06:28:05+07:00
Construction Supervisor,AnPhat Vietnam,Can Tho,Construction,Hybrid,21-23 trieu VND,2-4 nam,21000000,23000000,https://jobs.local/topcv/construction-supervisor-51,Tuyen dung Construction Supervisor tai AnPhat Vietnam o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"construction,site,safety",2026-03-30T04:28:05+07:00
Legal Counsel,VietFuture JSC,Binh Duong,Legal,Shift,16-22 trieu VND,1-3 nam,16000000,22000000,https://jobs.local/topcv/legal-counsel-52,Tuyen dung Legal Counsel tai VietFuture JSC o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"legal,compliance,contract",2026-04-25T01:28:05+07:00
PR Executive,AnPhat Solutions,Hanoi,Marketing,Full-time,24-27 trieu VND,3-5 nam,24000000,27000000,https://jobs.local/topcv/pr-executive-53,Tuyen dung PR Executive tai AnPhat Solutions o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-04-17T00:28:05+07:00
Marketing Specialist,GlobalNext JSC,Ho Chi Minh City,Marketing,Full-time,38-41 trieu VND,5+ nam,38000000,41000000,https://jobs.local/topcv/marketing-specialist-54,Tuyen dung Marketing Specialist tai GlobalNext JSC o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"marketing,campaign,digital",2026-03-14T22:28:05+07:00
HR Executive,GreenTech Solutions,Bac Ninh,Human Resources,Full-time,24-27 trieu VND,5+ nam,24000000,27000000,https://jobs.local/topcv/hr-executive-55,Tuyen dung HR Executive tai GreenTech Solutions o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-10T11:28:05+07:00
Customer Service Specialist,AnPhat Group,Can Tho,Operations,Full-time,21-25 trieu VND,3-5 nam,21000000,25000000,https://jobs.local/topcv/customer-service-specialist-56,Tuyen dung Customer Service Specialist tai AnPhat Group o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-04-24T17:28:05+07:00
Warehouse Operator,AnPhat Group,Bac Ninh,Labor,Shift,10-14 trieu VND,2-4 nam,10000000,14000000,https://jobs.local/topcv/warehouse-operator-57,Tuyen dung Warehouse Operator tai AnPhat Group o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"warehouse,inventory,forklift",2026-03-31T23:28:05+07:00
Legal Counsel,NovaLink Group,Bac Ninh,Legal,Hybrid,18-23 trieu VND,1-3 nam,18000000,23000000,https://jobs.local/topcv/legal-counsel-58,Tuyen dung Legal Counsel tai NovaLink Group o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"legal,compliance,contract",2026-03-25T12:28:05+07:00
PR Executive,NovaLink JSC,Dong Nai,Marketing,Remote,13-15 trieu VND,2-4 nam,13000000,15000000,https://jobs.local/topcv/pr-executive-59,Tuyen dung PR Executive tai NovaLink JSC o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"pr,communications,media",2026-03-23T02:28:05+07:00
Customer Service Specialist,VietFuture Vietnam,Ho Chi Minh City,Operations,Remote,21-23 trieu VND,3-5 nam,21000000,23000000,https://jobs.local/topcv/customer-service-specialist-60,Tuyen dung Customer Service Specialist tai VietFuture Vietnam o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-04-11T21:28:05+07:00
Warehouse Operator,PrimeX Vietnam,Ho Chi Minh City,Labor,Hybrid,23-28 trieu VND,5+ nam,23000000,28000000,https://jobs.local/topcv/warehouse-operator-61,Tuyen dung Warehouse Operator tai PrimeX Vietnam o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"warehouse,inventory,forklift",2026-04-24T08:28:05+07:00
Sales Executive,Sunrise Solutions,Bac Ninh,Sales,Remote,20-31 trieu VND,3-5 nam,20000000,31000000,https://jobs.local/topcv/sales-executive-62,Tuyen dung Sales Executive tai Sunrise Solutions o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"sales,negotiation,crm",2026-04-07T04:28:05+07:00
Warehouse Operator,BlueOcean JSC,Ho Chi Minh City,Labor,Hybrid,8-12 trieu VND,0-1 nam,8000000,12000000,https://jobs.local/topcv/warehouse-operator-63,Tuyen dung Warehouse Operator tai BlueOcean JSC o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"warehouse,inventory,forklift",2026-03-30T16:28:05+07:00
Administrative Officer,AnPhat Vietnam,Ho Chi Minh City,Administration,Remote,20-22 trieu VND,3-5 nam,20000000,22000000,https://jobs.local/topcv/administrative-officer-64,Tuyen dung Administrative Officer tai AnPhat Vietnam o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-04-22T05:28:05+07:00
Logistics Coordinator,VietFuture Group,Hanoi,Supply Chain,Part-time,24-27 trieu VND,3-5 nam,24000000,27000000,https://jobs.local/topcv/logistics-coordinator-65,Tuyen dung Logistics Coordinator tai VietFuture Group o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-04-27T02:28:05+07:00
Accountant,AnPhat Vietnam,Dong Nai,Finance,Full-time,22-32 trieu VND,3-5 nam,22000000,32000000,https://jobs.local/topcv/accountant-66,Tuyen dung Accountant tai AnPhat Vietnam o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-03-25T11:28:05+07:00
Business Development Manager,PrimeX JSC,Binh Duong,Sales,Part-time,9-11 trieu VND,0-1 nam,9000000,11000000,https://jobs.local/topcv/business-development-manager-67,Tuyen dung Business Development Manager tai PrimeX JSC o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"business-development,b2b,pipeline",2026-04-15T05:28:05+07:00
Customer Service Specialist,VietFuture Group,Da Nang,Operations,Full-time,26-29 trieu VND,5+ nam,26000000,29000000,https://jobs.local/topcv/customer-service-specialist-68,Tuyen dung Customer Service Specialist tai VietFuture Group o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"support,crm,service",2026-03-28T05:28:05+07:00
Logistics Coordinator,GreenTech JSC,Ho Chi Minh City,Supply Chain,Full-time,17-21 trieu VND,1-3 nam,17000000,21000000,https://jobs.local/topcv/logistics-coordinator-69,Tuyen dung Logistics Coordinator tai GreenTech JSC o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"logistics,warehouse,supply-chain",2026-04-17T05:28:05+07:00
Real Estate Consultant,GlobalNext JSC,Hanoi,Real Estate,Shift,28-30 trieu VND,3-5 nam,28000000,30000000,https://jobs.local/topcv/real-estate-consultant-70,Tuyen dung Real Estate Consultant tai GlobalNext JSC o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"real-estate,sales,consulting",2026-04-22T22:28:05+07:00
Accountant,PrimeX Solutions,Hanoi,Finance,Part-time,16-20 trieu VND,1-3 nam,16000000,20000000,https://jobs.local/topcv/accountant-71,Tuyen dung Accountant tai PrimeX Solutions o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"accounting,excel,tax",2026-04-21T04:28:05+07:00
HR Executive,GreenTech Solutions,Binh Duong,Human Resources,Remote,10-16 trieu VND,1-3 nam,10000000,16000000,https://jobs.local/topcv/hr-executive-72,Tuyen dung HR Executive tai GreenTech Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-04-24T22:28:05+07:00
HR Executive,Sunrise Group,Bac Ninh,Human Resources,Part-time,12-15 trieu VND,1-3 nam,12000000,15000000,https://jobs.local/topcv/hr-executive-73,Tuyen dung HR Executive tai Sunrise Group o Bac Ninh. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-03-31T18:28:05+07:00
Business Development Manager,PrimeX Group,Da Nang,Sales,Full-time,10-14 trieu VND,0-1 nam,10000000,14000000,https://jobs.local/topcv/business-development-manager-74,Tuyen dung Business Development Manager tai PrimeX Group o Da Nang. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"business-development,b2b,pipeline",2026-04-27T10:28:05+07:00
Sales Executive,PrimeX Vietnam,Ho Chi Minh City,Sales,Hybrid,12-18 trieu VND,1-3 nam,12000000,18000000,https://jobs.local/topcv/sales-executive-75,Tuyen dung Sales Executive tai PrimeX Vietnam o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"sales,negotiation,crm",2026-03-15T21:28:05+07:00
HR Executive,Skyline Group,Can Tho,Human Resources,Full-time,28-33 trieu VND,5+ nam,28000000,33000000,https://jobs.local/topcv/hr-executive-76,Tuyen dung HR Executive tai Skyline Group o Can Tho. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"hr,recruitment,onboarding",2026-03-20T03:28:05+07:00
Administrative Officer,BlueOcean Vietnam,Dong Nai,Administration,Hybrid,18-24 trieu VND,5+ nam,18000000,24000000,https://jobs.local/topcv/administrative-officer-77,Tuyen dung Administrative Officer tai BlueOcean Vietnam o Dong Nai. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"admin,office,coordination",2026-04-28T08:28:05+07:00
Legal Counsel,BlueOcean Group,Hanoi,Legal,Hybrid,38-59 trieu VND,5+ nam,38000000,59000000,https://jobs.local/topcv/legal-counsel-78,Tuyen dung Legal Counsel tai BlueOcean Group o Hanoi. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"legal,compliance,contract",2026-03-30T05:28:05+07:00
Auditor,MinhLong Vietnam,Ho Chi Minh City,Finance,Full-time,13-17 trieu VND,1-3 nam,13000000,17000000,https://jobs.local/topcv/auditor-79,Tuyen dung Auditor tai MinhLong Vietnam o Ho Chi Minh City. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"audit,risk,reporting",2026-04-17T20:28:05+07:00
Business Development Manager,AnPhat Solutions,Binh Duong,Sales,Full-time,16-24 trieu VND,2-4 nam,16000000,24000000,https://jobs.local/topcv/business-development-manager-80,Tuyen dung Business Development Manager tai AnPhat Solutions o Binh Duong. Yeu cau kinh nghiem lien quan va ky nang giao tiep tot.,"business-development,b2b,pipeline",2026-03-20T11:28:05+07:00
